order_id,order_date,amount,product_id
5518,2022-03-10,448.64,27
6227,2022-05-15,43.54,38
6917,2022-01-21,364.21,49
8853,2023-05-17,74.46,44
6771,2023-06-14,257.61,16
5140,2022-11-20,111.18,31
1756,2023-03-01,446.86,9
6654,2023-11-03,46.47,42
5368,2022-04-20,397.43,35
7791,2023-05-09,132.09,4
8193,2022-10-21,18.69,22
2352,2022-04-14,369.0,29
2157,2022-09-20,498.93,1
2049,2022-06-28,262.12,3
9918,2022-02-21,300.85,37
8272,2023-06-10,191.71,28
3885,2022-09-18,386.36,1
3293,2023-05-02,61.01,34
8493,2022-01-12,236.15,26
8741,2023-10-11,203.44,43
9366,2022-08-01,278.89,32
8160,2023-10-16,295.21,40
5162,2023-05-01,170.27,17
1248,2023-04-22,349.58,12
6952,2022-01-10,379.05,10
8182,2022-09-18,28.44,20
4699,2023-08-01,311.11,4
4376,2022-05-22,269.91,14
3316,2022-09-20,43.37,29
1453,2023-05-06,439.31,10
3205,2023-06-11,14.1,49
2597,2022-06-19,225.81,25
5806,2023-10-27,371.55,29
3688,2022-08-22,363.82,35
7618,2023-05-25,349.19,25
3651,2023-01-24,265.24,5
4871,2022-04-01,387.42,24
1254,2022-08-10,487.57,2
7075,2023-04-30,185.66,11
3278,2022-12-20,460.23,40
2433,2022-08-30,71.79,17
8246,2023-12-26,322.69,32
7777,2022-12-04,463.29,26
6141,2023-11-30,166.25,39
8074,2022-08-25,444.27,10
9902,2023-09-02,455.04,5
5861,2022-02-09,306.87,37
2160,2022-06-02,365.11,30
5107,2023-09-09,123.97,9
4337,2023-07-10,105.1,37
8852,2023-10-18,122.03,20
6278,2023-10-17,315.79,23
5536,2022-03-27,152.51,30
9114,2023-04-28,325.25,35
9554,2022-11-16,117.22,20
3029,2023-02-28,72.79,13
4043,2022-04-10,17.32,36
5697,2022-01-17,413.79,21
4917,2023-09-03,213.44,40
8648,2023-05-22,246.57,43
8017,2022-11-28,228.32,23
9251,2022-09-20,426.92,30
1645,2022-03-12,116.48,4
8287,2023-08-15,410.17,7
